Date,Open,Low,High,Close,Volume
2025-07-01 16:36:00,105719.47,105703.06,105728.77,105723.34,138940416.0
2025-07-01 16:37:00,105723.33,105714.87,105762.41,105746.85,313331.5870231635
2025-07-01 16:38:00,105746.85,105746.84,105766.01,105758.25,207845.85746515502
2025-07-01 16:39:00,105758.25,105758.13,105786.03,105767.64,207622144.0
2025-07-01 16:40:00,105767.64,105722.77,105767.65,105747.25,273553.00543346995
2025-07-01 16:41:00,105747.25,105747.24,105754.48,105754.44,55881.5101097748
2025-07-01 16:42:00,105754.44,105754.44,105761.09,105754.46,50290688.0
2025-07-01 16:43:00,105754.46,105747.24,105770.24,105770.23,47535.2948438828
2025-07-01 16:44:00,105770.23,105754.48,105770.24,105759.35,85729280.0
2025-07-01 16:45:00,105759.36,105755.06,105766.92,105764.87,59160.380674565895
2025-07-01 16:46:00,105764.86,105755.74,105784.01,105784.01,18628608.0
2025-07-01 16:47:00,105784.01,105784.01,105863.83,105840.74,516427.90876670944
2025-07-01 16:48:00,105839.93,105839.89,105884.92,105853.58,156680192.0
2025-07-01 16:49:00,105853.56,105819.03,105853.57,105827.0,718196736.0
2025-07-01 16:50:00,105820.56,105819.02,105848.14,105848.14,519447.0659166138
2025-07-01 16:51:00,105848.13,105848.13,105924.46,105906.59,419368.8758965617
2025-07-01 16:52:00,105906.59,105906.59,105924.39,105915.63,62763008.0
2025-07-01 16:53:00,105915.63,105901.3,105955.16,105909.56,806813.4879509164
2025-07-01 16:54:00,105910.25,105905.75,105912.19,105905.77,137760.19646144682
2025-07-01 16:55:00,105905.77,105905.77,105941.23,105941.23,15126528.0
2025-07-01 16:56:00,105941.23,105924.96,105957.25,105957.25,754723.1874074375
2025-07-01 16:57:00,105957.25,105938.91,105969.81,105942.23,187113472.0
2025-07-01 16:58:00,105942.22,105941.79,106019.2,106014.5,19140608.0
2025-07-01 16:59:00,106011.02,105938.81,106020.06,105938.82,46772224.0
2025-07-01 17:00:00,105938.81,105894.17,105938.81,105894.17,10252288.0
2025-07-01 17:01:00,105894.17,105861.41,105896.67,105888.88,230382.40021378078
2025-07-01 17:02:00,105879.54,105864.03,105881.67,105867.18,59305.222108377
2025-07-01 17:03:00,105867.18,105864.04,105879.04,105870.6,54275.721314364
2025-07-01 17:04:00,105870.61,105816.07,105870.61,105850.08,788102.9769731328
2025-07-01 17:05:00,105850.07,105763.04,105850.07,105764.89,616480768.0
2025-07-01 17:06:00,105764.9,105764.89,105771.45,105771.41,42173.5224677107
